hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage,Num,food
"BEING BAKERS SHOP",4.5,48,Bakery,"Mira Road",not_available,0,1,Bakery
"Zero Gravity",4.1,49,"Chinese, Continental, Fast Food, Italian","Gandhi Nagar",not_available,0,1,Chinese
"Zero Gravity",4.1,49,"Chinese, Continental, Fast Food, Italian","Gandhi Nagar",not_available,0,2," Continental"
"Zero Gravity",4.1,49,"Chinese, Continental, Fast Food, Italian","Gandhi Nagar",not_available,0,3," Fast Food"
"Zero Gravity",4.1,49,"Chinese, Continental, Fast Food, Italian","Gandhi Nagar",not_available,0,4," Italian"
"Naashta sweets and more",4.7,49,Indian,"Kandivali East",600,10,1,Indian
"Kandivali 67 Chinese Corner",4.5,40,"Chinese, Biryani",Borivali,not_available,0,1,Chinese
"Kandivali 67 Chinese Corner",4.5,40,"Chinese, Biryani",Borivali,not_available,0,2," Biryani"
"3 Barmen",4.7,61,"Chinese, North Indian","Kandivali West",not_available,0,1,Chinese
"3 Barmen",4.7,61,"Chinese, North Indian","Kandivali West",not_available,0,2," North Indian"
Avarya,4.39,45,"Snacks, Desserts, Beverages","Mahim Dadar",not_available,0,1,Snacks
Avarya,4.39,45,"Snacks, Desserts, Beverages","Mahim Dadar",not_available,0,2," Desserts"
Avarya,4.39,45,"Snacks, Desserts, Beverages","Mahim Dadar",not_available,0,3," Beverages"
"Gharchi Athwan",4.5,42,"Maharashtrian, Snacks, Sweets",Borivali,not_available,0,1,Maharashtrian
"Gharchi Athwan",4.5,42,"Maharashtrian, Snacks, Sweets",Borivali,not_available,0,2," Snacks"
"Gharchi Athwan",4.5,42,"Maharashtrian, Snacks, Sweets",Borivali,not_available,0,3," Sweets"
"BELLA FOOD CORNER",3.8,41,"North Indian, Chinese, Tandoor, Biryani, Snacks","Dahisar (E) Mumbai",not_available,0,1,"North Indian"
"BELLA FOOD CORNER",3.8,41,"North Indian, Chinese, Tandoor, Biryani, Snacks","Dahisar (E) Mumbai",not_available,0,2," Chinese"
"BELLA FOOD CORNER",3.8,41,"North Indian, Chinese, Tandoor, Biryani, Snacks","Dahisar (E) Mumbai",not_available,0,3," Tandoor"
"BELLA FOOD CORNER",3.8,41,"North Indian, Chinese, Tandoor, Biryani, Snacks","Dahisar (E) Mumbai",not_available,0,4," Biryani"
"BELLA FOOD CORNER",3.8,41,"North Indian, Chinese, Tandoor, Biryani, Snacks","Dahisar (E) Mumbai",not_available,0,5," Snacks"
"The Malai Paneer Company",4.1,54,"North Indian","Kandivali West",not_available,0,1,"North Indian"
"Phelia Lounge",4.3,57,"Chinese, Tandoor, Continental, Indian, Italian, Pizzas","Kandivali West",not_available,0,1,Chinese
"Phelia Lounge",4.3,57,"Chinese, Tandoor, Continental, Indian, Italian, Pizzas","Kandivali West",not_available,0,2," Tandoor"
"Phelia Lounge",4.3,57,"Chinese, Tandoor, Continental, Indian, Italian, Pizzas","Kandivali West",not_available,0,3," Continental"
"Phelia Lounge",4.3,57,"Chinese, Tandoor, Continental, Indian, Italian, Pizzas","Kandivali West",not_available,0,4," Indian"
"Phelia Lounge",4.3,57,"Chinese, Tandoor, Continental, Indian, Italian, Pizzas","Kandivali West",not_available,0,5," Italian"
"Phelia Lounge",4.3,57,"Chinese, Tandoor, Continental, Indian, Italian, Pizzas","Kandivali West",not_available,0,6," Pizzas"
"Shreeji Aamras",4.6,41,Beverages,Dahisar,749,not_available,1,Beverages
"Hungry Paji",4.2,49,"Chinese, Indian, Tandoor",Goregaon,100,10,1,Chinese
"Hungry Paji",4.2,49,"Chinese, Indian, Tandoor",Goregaon,100,10,2," Indian"
"Hungry Paji",4.2,49,"Chinese, Indian, Tandoor",Goregaon,100,10,3," Tandoor"
"The Bagve's cafe",4.37,52,Waffle,"Kandivali West",not_available,0,1,Waffle
"Beyond - Wine & Dine",4.7,56,"Continental, Mexican, Salads, Chinese, North Indian","Kandivali West",not_available,0,1,Continental
"Beyond - Wine & Dine",4.7,56,"Continental, Mexican, Salads, Chinese, North Indian","Kandivali West",not_available,0,2," Mexican"
"Beyond - Wine & Dine",4.7,56,"Continental, Mexican, Salads, Chinese, North Indian","Kandivali West",not_available,0,3," Salads"
"Beyond - Wine & Dine",4.7,56,"Continental, Mexican, Salads, Chinese, North Indian","Kandivali West",not_available,0,4," Chinese"
"Beyond - Wine & Dine",4.7,56,"Continental, Mexican, Salads, Chinese, North Indian","Kandivali West",not_available,0,5," North Indian"
"THE MINISTRY OF CHEFS",4.1,52,"North Indian, Chinese, Snacks, Fast Food, Desserts, Beverages, Biryani, Seafood, Indian, Tandoor","Kandivali West",not_available,0,1,"North Indian"
"THE MINISTRY OF CHEFS",4.1,52,"North Indian, Chinese, Snacks, Fast Food, Desserts, Beverages, Biryani, Seafood, Indian, Tandoor","Kandivali West",not_available,0,2," Chinese"
"THE MINISTRY OF CHEFS",4.1,52,"North Indian, Chinese, Snacks, Fast Food, Desserts, Beverages, Biryani, Seafood, Indian, Tandoor","Kandivali West",not_available,0,3," Snacks"
"THE MINISTRY OF CHEFS",4.1,52,"North Indian, Chinese, Snacks, Fast Food, Desserts, Beverages, Biryani, Seafood, Indian, Tandoor","Kandivali West",not_available,0,4," Fast Food"
"THE MINISTRY OF CHEFS",4.1,52,"North Indian, Chinese, Snacks, Fast Food, Desserts, Beverages, Biryani, Seafood, Indian, Tandoor","Kandivali West",not_available,0,5," Desserts"
"THE MINISTRY OF CHEFS",4.1,52,"North Indian, Chinese, Snacks, Fast Food, Desserts, Beverages, Biryani, Seafood, Indian, Tandoor","Kandivali West",not_available,0,6," Beverages"
"THE MINISTRY OF CHEFS",4.1,52,"North Indian, Chinese, Snacks, Fast Food, Desserts, Beverages, Biryani, Seafood, Indian, Tandoor","Kandivali West",not_available,0,7," Biryani"
"THE MINISTRY OF CHEFS",4.1,52,"North Indian, Chinese, Snacks, Fast Food, Desserts, Beverages, Biryani, Seafood, Indian, Tandoor","Kandivali West",not_available,0,8," Seafood"
"THE MINISTRY OF CHEFS",4.1,52,"North Indian, Chinese, Snacks, Fast Food, Desserts, Beverages, Biryani, Seafood, Indian, Tandoor","Kandivali West",not_available,0,9," Indian"
"Namaste Mumbai",4.1,46,"Chinese, Fast Food, Indian, Beverages","Kandivali West",not_available,0,1,Chinese
"Namaste Mumbai",4.1,46,"Chinese, Fast Food, Indian, Beverages","Kandivali West",not_available,0,2," Fast Food"
"Namaste Mumbai",4.1,46,"Chinese, Fast Food, Indian, Beverages","Kandivali West",not_available,0,3," Indian"
"Namaste Mumbai",4.1,46,"Chinese, Fast Food, Indian, Beverages","Kandivali West",not_available,0,4," Beverages"
"Party Time Pizzas",3.5,43,"Pizzas, Fast Food, Bakery, Desserts","Raheja Township",not_available,0,1,Pizzas
"Party Time Pizzas",3.5,43,"Pizzas, Fast Food, Bakery, Desserts","Raheja Township",not_available,0,2," Fast Food"
"Party Time Pizzas",3.5,43,"Pizzas, Fast Food, Bakery, Desserts","Raheja Township",not_available,0,3," Bakery"
"Party Time Pizzas",3.5,43,"Pizzas, Fast Food, Bakery, Desserts","Raheja Township",not_available,0,4," Desserts"
"Crispy Slice Pizza",4.2,53,Pizzas,Goregaon,not_available,0,1,Pizzas
"DBW De Burger World",4.5,50,"Burgers, Pizzas, Fast Food, Snacks, Beverages","Mira Road",not_available,0,1,Burgers
"DBW De Burger World",4.5,50,"Burgers, Pizzas, Fast Food, Snacks, Beverages","Mira Road",not_available,0,2," Pizzas"
"DBW De Burger World",4.5,50,"Burgers, Pizzas, Fast Food, Snacks, Beverages","Mira Road",not_available,0,3," Fast Food"
"DBW De Burger World",4.5,50,"Burgers, Pizzas, Fast Food, Snacks, Beverages","Mira Road",not_available,0,4," Snacks"
"DBW De Burger World",4.5,50,"Burgers, Pizzas, Fast Food, Snacks, Beverages","Mira Road",not_available,0,5," Beverages"
"Swadam Bhog",4.4,48,"Indian, North Indian, Chinese, Punjabi, Snacks, Biryani","Kandivali West",not_available,0,1,Indian
"Swadam Bhog",4.4,48,"Indian, North Indian, Chinese, Punjabi, Snacks, Biryani","Kandivali West",not_available,0,2," North Indian"
"Swadam Bhog",4.4,48,"Indian, North Indian, Chinese, Punjabi, Snacks, Biryani","Kandivali West",not_available,0,3," Chinese"
"Swadam Bhog",4.4,48,"Indian, North Indian, Chinese, Punjabi, Snacks, Biryani","Kandivali West",not_available,0,4," Punjabi"
